426,-0.267,-1.833,-3.387,-1.788,1.85,12,0.6,0.2,0.12,1.14,0.4,0.456,1.74,5,0.2,1,0.43,0.2,0.086,2,0.2,0.4,0,0.2,0,2.6,2.062,0.4,0.5,0.4124,0
19,0.317,-1.028,-3.569,-4.415,3.89,37,1.81,0.4,0.724,1.03,0.2,0.206,2.84,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,2.33,0.4,0.5,0.466,0
272,0.92,-2.58,-2.885,-5.61,2.72,8,0,0.2,0,0.62,0.2,0.124,0.62,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.524,0.4,0.5,0.3048,0
211,-0.999,0.524,-1.344,-5.792,2.72,5,1.46,0.4,0.584,0.75,0.2,0.15,2.21,5,0.2,1,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0,2.2,2.156,0.4,0.5,0.4312,0
184,-0.267,0.967,-0.29,-6.6,3.41,29,0.63,0.2,0.126,0,0.2,0,0.63,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.526,0.4,0.5,0.3052,0
615,0.955,-0.248,-1.487,-2.546,55.57,6,0,0.2,0,0,0.2,0,0,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,0
297,-0.754,-2.764,3.896,-6.971,2.37,19,2.13,0.6,1.278,0.11,0.2,0.022,2.24,5,0.2,1,7.54,0.4,3.016,2,0.2,0.4,0,0.2,0,2.6,5.716,0.4,0.5,1.1432,1
411,-0.69,-1.031,-2.614,-3.248,1.85,19,0.18,0.2,0.036,0,0.2,0,0.18,5,0.2,1,0,0.2,0,6,0.4,2.4,0,0.2,0,2.6,3.436,2.4,0.5,4.1232,1
541,-0.197,1.018,-1.637,-3.843,59.85,5,0,0.2,0,0,0.2,0,0,5,0.2,1,1.44,0.2,0.288,2,0.2,0.4,0,0.2,0,2,1.688,0.4,0.5,0.3376,0
148,0.143,-1.591,-1.949,-8.812,3.41,19,1.21,0.4,0.484,43.84,0.6,26.304,45.05,5.5,0.4,2.2,31.61,0.6,18.966,2,0.2,0.4,0,0.2,0,4.2,48.354,0.4,0.5,9.6708,1
606,-0.297,-0.821,-1.393,-2.354,55.57,16,2.42,0.6,1.452,3.53,0.6,2.118,5.95,5,0.2,1,6.31,0.4,2.524,2,0.2,0.4,0,0.2,0,3.8,7.494,0.4,0.5,1.4988,1
240,-0.764,-1.369,-1.263,-5.608,2.72,15,2.68,0.6,1.608,38.32,0.6,22.992,41,5,0.2,1,7.17,0.4,2.868,2,0.2,0.4,0,0.2,0,3.8,28.868,0.4,0.5,5.7736,1
384,-0.053,-1.596,-0.682,1.615,1.99,13,1.56,0.4,0.624,0,0.2,0,1.56,5,0.2,1,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0,2.2,2.044,0.4,0.5,0.4088,0
674,0.197,0.974,-0.854,2.561,55.57,9,1.28,0.4,0.512,0,0.2,0,1.28,5,0.2,1,0.22,0.2,0.044,2,0.2,0.4,0,0.2,0,2.2,1.956,0.4,0.5,0.3912,0
27,-0.365,-1.557,-2.675,-5.545,3.89,4,0,0.2,0,1.1,0.2,0.22,1.1,5,0.2,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,1.6214,0.4,0.5,0.32428,0
372,0.958,-1.702,-3.986,-2.062,1.99,27,0.6,0.2,0.12,0,0.2,0,0.6,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.52,0.4,0.5,0.304,0
